,tmp,count,TF,batch
836,TBX4_0,112,TBX4,0
837,NF1_0,112,NF1,0
838,NR5A1_0,111,NR5A1,0
839,CTBP1_0,111,CTBP1,0
840,TGIF2_0,111,TGIF2,0
841,PITX3_0,110,PITX3,0
842,ALX1_0,110,ALX1,0
843,POU2F1_0,109,POU2F1,0
844,ASCL4_0,109,ASCL4,0
845,EGR3_0,109,EGR3,0
846,FOXD4_0,108,FOXD4,0
847,IRF9_0,108,IRF9,0
848,LHX4_0,108,LHX4,0
849,ZNF133_1,107,ZNF133,1
850,DLX5_0,106,DLX5,0
851,LCORL_0,106,LCORL,0
852,SP8_0,106,SP8,0
853,NR2C1_0,105,NR2C1,0
854,ZSCAN21_0,105,ZSCAN21,0
855,CIZ1_0,105,CIZ1,0
856,YBX2_0,104,YBX2,0
857,RORB_1,104,RORB,1
858,DMRTA2_0,104,DMRTA2,0
859,PA2G4_0,104,PA2G4,0
860,ZNF540_0,103,ZNF540,0
861,NFKBIA_0,103,NFKBIA,0
862,MEF2D_1,102,MEF2D,1
863,ZNF436_1,102,ZNF436,1
864,MTA3_0,101,MTA3,0
865,ZIC3_0,101,ZIC3,0
866,MBD2_0,101,MBD2,0
867,PSMD14_0,100,PSMD14,0
868,MYEF2_1,100,MYEF2,1
869,SNAPC2_0,100,SNAPC2,0
870,ZSCAN23_0,100,ZSCAN23,0
871,STRAP_0,99,STRAP,0
872,PURA_0,99,PURA,0
873,ZNF787_0,99,ZNF787,0
874,RFX8_0,99,RFX8,0
875,PIAS2_0,99,PIAS2,0
876,ETV5_0,99,ETV5,0
877,HSFX1_0,99,HSFX1,0
878,HDAC1_0,99,HDAC1,0
879,TEAD3_0,99,TEAD3,0
880,NFATC2_1,98,NFATC2,1
881,SETDB2_1,98,SETDB2,1
882,OTX1_0,98,OTX1,0
883,CRTC1_0,97,CRTC1,0
884,TAF6_0,97,TAF6,0
885,GTF2B_0,97,GTF2B,0
886,ZNF619_0,97,ZNF619,0
887,IKZF4_0,97,IKZF4,0
888,NFIB_1,97,NFIB,1
889,ZNF490_1,96,ZNF490,1
890,FOXA3_0,96,FOXA3,0
891,FOXB1_0,96,FOXB1,0
892,HOXD13_0,95,HOXD13,0
893,SIM2_0,95,SIM2,0
894,GMEB1_1,94,GMEB1,1
895,SRF_0,94,SRF,0
896,NR0B1_0,94,NR0B1,0
897,ZNF518A_1,93,ZNF518A,1
898,ATMIN_0,93,ATMIN,0
899,PRRX2_0,93,PRRX2,0
900,STAT5A_0,93,STAT5A,0
901,ZSCAN16_0,93,ZSCAN16,0
902,MAFA_0,92,MAFA,0
903,ZNF587_0,92,ZNF587,0
904,EOMES_1,91,EOMES,1
905,NR2F6_0,91,NR2F6,0
906,ZNF574_1,91,ZNF574,1
907,FOS_0,91,FOS,0
908,RUNX1T1_1,91,RUNX1T1,1
909,ZNF562_0,90,ZNF562,0
